Icon	Dec	Hex	Name	Block
	0	0	minecraft:air	Air
Stone.png	1	1	minecraft:stone	Stone S B
Grass.png	2	2	minecraft:grass	Grass Block
Dirt.png	3	3	minecraft:dirt	Dirt S B
Cobblestone.png	4	4	minecraft:cobblestone	Cobblestone
Oak Wood Planks.png	5	5	minecraft:planks	Wood Planks S B
Oak Sapling.png	6	6	minecraft:sapling	Sapling S B
Bedrock.png	7	7	minecraft:bedrock	Bedrock
Water.png	8	8	minecraft:flowing_water	Water S
Water.png	9	9	minecraft:water	Stationary Water S
Lava.png	10	A	minecraft:flowing_lava	Lava S
Lava.png	11	B	minecraft:lava	Stationary Lava S
Sand.png	12	C	minecraft:sand	Sand S B
Gravel.png	13	D	minecraft:gravel	Gravel
Gold Ore.png	14	E	minecraft:gold_ore	Gold Ore
Iron Ore.png	15	F	minecraft:iron_ore	Iron Ore
Coal Ore.png	16	10	minecraft:coal_ore	Coal Ore
Oak Wood.png	17	11	minecraft:log	Wood S B
Leaves.png	18	12	minecraft:leaves	Leaves S B
Sponge.png	19	13	minecraft:sponge	Sponge S B
Glass.png	20	14	minecraft:glass	Glass
Lapis Lazuli Ore.png	21	15	minecraft:lapis_ore	Lapis Lazuli Ore
Lapis Lazuli Block.png	22	16	minecraft:lapis_block	Lapis Lazuli Block
Dispenser.png	23	17	minecraft:dispenser	Dispenser S E
Sandstone.png	24	18	minecraft:sandstone	Sandstone S B
Note Block.png	25	19	minecraft:noteblock	Note Block E
Bed.png	26	1A	minecraft:bed	Bed I S
Powered Rail Off.png	27	1B	minecraft:golden_rail	Powered Rail S
Detector Rail.png	28	1C	minecraft:detector_rail	Detector Rail S
Sticky Piston.png	29	1D	minecraft:sticky_piston	Sticky Piston S
Cobweb.png	30	1E	minecraft:web	Cobweb
Tall Grass.png	31	1F	minecraft:tallgrass	Grass S B
Dead Bush.png	32	20	minecraft:deadbush	Dead Bush
Piston.png	33	21	minecraft:piston	Piston S
Block 34.png	34	22	minecraft:piston_head	Piston Head S
White Wool.png	35	23	minecraft:wool	Wool S B
	36	24	minecraft:piston_extension	Block moved by Piston E
Dandelion.png	37	25	minecraft:yellow_flower	Dandelion
Poppy.png	38	26	minecraft:red_flower	Poppy S B
Brown Mushroom.png	39	27	minecraft:brown_mushroom	Brown Mushroom
Red Mushroom.png	40	28	minecraft:red_mushroom	Red Mushroom
Block of Gold.png	41	29	minecraft:gold_block	Block of Gold
Block of Iron.png	42	2A	minecraft:iron_block	Block of Iron
Double Stone Slab.png	43	2B	minecraft:double_stone_slab	Double Stone Slab S B
Stone Slab.png	44	2C	minecraft:stone_slab	Stone Slab S B
Bricks.png	45	2D	minecraft:brick_block	Bricks
TNT.png	46	2E	minecraft:tnt	TNT
Bookshelf.png	47	2F	minecraft:bookshelf	Bookshelf
Moss Stone.png	48	30	minecraft:mossy_cobblestone	Moss Stone
Obsidian.png	49	31	minecraft:obsidian	Obsidian
Torch.png	50	32	minecraft:torch	Torch S
Fire.png	51	33	minecraft:fire	Fire S
Monster Spawner.png	52	34	minecraft:mob_spawner	Monster Spawner E
Oak Wood Stairs.png	53	35	minecraft:oak_stairs	Oak Wood Stairs S
Chest.png	54	36	minecraft:chest	Chest S E
"Redstone (Wire,Inventory).png"	55	37	minecraft:redstone_wire	Redstone Wire I S
Diamond Ore.png	56	38	minecraft:diamond_ore	Diamond Ore
Block of Diamond.png	57	39	minecraft:diamond_block	Block of Diamond
Crafting Table.png	58	3A	minecraft:crafting_table	Crafting Table
Crops.png	59	3B	minecraft:wheat	Wheat I S
Farmland.png	60	3C	minecraft:farmland	Farmland S
Furnace.png	61	3D	minecraft:furnace	Furnace S E
Furnace (Active).png	62	3E	minecraft:lit_furnace	Burning Furnace S E
Sign.png	63	3F	minecraft:standing_sign	Standing Sign I S E
Wooden Door.png	64	40	minecraft:wooden_door	Oak Door I S
Ladder.png	65	41	minecraft:ladder	Ladder S
Rail.png	66	42	minecraft:rail	Rail S
Cobblestone Stairs.png	67	43	minecraft:stone_stairs	Cobblestone Stairs S
Wall Sign.png	68	44	minecraft:wall_sign	Wall Sign I S E
Lever.png	69	45	minecraft:lever	Lever S
Stone Pressure Plate.png	70	46	minecraft:stone_pressure_plate	Stone Pressure Plate S
Iron Door.png	71	47	minecraft:iron_door	Iron Door I S
Wooden Pressure Plate.png	72	48	minecraft:wooden_pressure_plate	Wooden Pressure Plate S
Redstone Ore.png	73	49	minecraft:redstone_ore	Redstone Ore
Redstone Ore.png	74	4A	minecraft:lit_redstone_ore	Glowing Redstone Ore
"Redstone (Torch, Inactive).png"	75	4B	minecraft:unlit_redstone_torch	Redstone Torch (inactive) S
"Redstone (Torch, Active).png"	76	4C	minecraft:redstone_torch	Redstone Torch (active) S
Stone Button.png	77	4D	minecraft:stone_button	Stone Button S
Snow.png	78	4E	minecraft:snow_layer	Snow (layer) S B
Ice.png	79	4F	minecraft:ice	Ice
Snow (Block).png	80	50	minecraft:snow	Snow
Cactus.png	81	51	minecraft:cactus	Cactus S
Clay Block.png	82	52	minecraft:clay	Clay
Sugar Canes.png	83	53	minecraft:reeds	Sugar Cane I S
Jukebox.png	84	54	minecraft:jukebox	Jukebox S E
Oak Fence.png	85	55	minecraft:fence	Oak Fence
